VehicleID,Round,OrderCount,StopCount,Plt,TravelDistance,WorkTime,TravelTime,UnloadingTime,WaitingTime,TotalCost,FixedCost,VariableCost
Veh1000_1,1,1,3,1.0,70.27504142412559,127.31357609269288,102.31357609269288,35.0,0,157557.58216637373,145400,12157.582166373728
Veh1000_1,2,1,3,0.3,70.27504142412559,120.31357609269288,102.31357609269288,28.0,0,157557.58216637373,145400,12157.582166373728
Veh1000_2,1,4,3,1.56,21.9509813747663,80.56111679317851,49.96111679317851,40.6,0,149197.51977783456,145400,3797.51977783457
Veh1000_2,2,4,3,2.39,51.822795171280845,135.09272572664847,96.19272572664846,48.900000000000006,0,154365.3435646316,145400,8965.343564631587
Veh1000_3,1,8,4,2.2,56.05391134520363,155.24109359426467,113.24109359426465,52.0,0,155097.32666272024,145400,9697.326662720228
Veh1000_3,2,2,3,1.8,45.259886541305946,112.38215214222106,79.38215214222106,43.0,0,153229.96037164592,145400,7829.960371645929
Veh1000_4,1,8,4,2.42,153.4947142243185,273.04739336782427,228.84739336782428,54.2,0,171954.58556080709,145400,26554.5855608071
Veh1000_4,2,1,3,0.9,56.11538543279701,125.19571974668614,101.19571974668614,34.0,0,155107.96167987387,145400,9707.961679873883
Veh1000_5,1,3,3,2.04,110.62910083155896,205.597048495711,170.197048495711,45.4,0,164538.8344438597,145400,19138.8344438597
Veh1000_5,2,3,3,1.81,56.11538543279701,134.29571974668613,101.19571974668614,43.1,0,155107.96167987387,145400,9707.961679873883
Veh1000_6,1,6,3,1.98,110.62910083155896,204.997048495711,170.197048495711,44.8,0,164538.8344438597,145400,19138.8344438597
Veh1000_6,2,1,3,1.0,85.5597015807945,167.9649284901531,142.9649284901531,35.0,0,160201.82837347744,145400,14801.828373477449
Veh1000_7,1,3,3,2.3699999999999997,74.4617351188002,170.3007492414332,131.60074924143322,48.699999999999996,0,158281.88017555245,145400,12881.880175552436
Veh1000_7,2,1,3,0.43,85.5597015807945,162.26492849015312,142.9649284901531,29.3,0,160201.82837347744,145400,14801.828373477449
Veh1000_8,1,3,3,0.82,100.63555890085733,177.26466027072496,154.06466027072497,33.2,0,162809.95168984833,145400,17409.95168984832
Veh1000_8,2,3,3,2.42,113.10333019370994,215.72806664047135,176.52806664047137,49.2,0,164966.8761235118,145400,19566.876123511818
Veh1000_9,1,3,3,0.5900000000000001,159.0455564271945,282.591033434036,261.691033434036,30.9,0,172914.88126190464,145400,27514.881261904648
Veh1000_9,2,6,4,2.38,112.30112438016346,235.8751452615724,192.07514526157243,53.8,0,164828.09451776827,145400,19428.094517768277
Veh1000_10,1,3,4,0.71,101.4370509975505,199.9675668121586,172.8675668121586,37.1,0,162948.60982257623,145400,17548.609822576236
Veh1000_10,2,6,4,1.8900000000000001,99.53136499991756,232.91200495186294,194.01200495186293,48.900000000000006,0,162618.92614498574,145400,17218.926144985737
Veh1000_11,1,6,4,1.7600000000000002,77.94409554906076,217.77096573494802,180.17096573494803,47.6,0,158884.3285299875,145400,13484.328529987512
Veh1000_11,2,7,4,1.5499999999999998,154.16120832032712,281.64779794267656,246.14779794267656,45.5,0,172069.8890394166,145400,26669.88903941659
Veh1000_12,1,5,4,1.3399999999999999,146.91916790374648,265.2827194262738,231.8827194262738,43.4,0,170817.01604734815,145400,25417.01604734814
Veh1000_12,2,2,4,1.37,132.055504141008,253.653016363595,219.953016363595,43.7,0,168245.60221639439,145400,22845.60221639438
Veh1000_13,1,5,5,2.13,153.97309408506408,330.94998580972515,284.64998580972514,56.3,0,172037.34527671608,145400,26637.345276716085
Veh1000_13,2,6,5,1.48,68.07622191459652,208.21049190088257,168.41049190088256,49.8,0,157177.1863912252,145400,11777.186391225197
Veh1000_14,1,7,6,1.8699999999999999,169.45166210300357,372.01870329080293,323.31870329080294,58.7,0,174715.1375438196,145400,29315.13754381962
Veh1000_14,2,7,6,1.8199999999999998,400.6472153316238,549.720340574477,501.52034057447685,58.2,0,214711.96825237092,145400,69311.96825237092
Veh1000_15,1,4,3,2.0,176.35202953473407,268.4254280055153,233.4254280055153,45.0,0,175908.901109509,145400,30508.901109508995
Veh1000_15,2,2,3,1.85,255.12249760118632,393.09773133185087,359.59773133185087,43.5,0,189536.19208500523,145400,44136.192085005234
Veh1000_16,1,3,3,0.67,49.02337296101295,102.85201117022427,81.15201117022427,31.7,0,153881.04352225523,145400,8481.04352225524
Veh1000_16,2,1,3,1.0,100.14507824968445,174.2734644881715,149.2734644881715,35.0,0,162725.09853719542,145400,17325.09853719541
Veh1000_17,1,4,4,0.94,167.8880733263353,302.9120811345308,273.51208113453083,39.4,0,174444.636685456,145400,29044.636685456007
Veh1000_17,2,4,3,0.88,100.14507824968445,173.0734644881715,149.2734644881715,33.8,0,162725.09853719542,145400,17325.09853719541
Veh1000_18,1,9,8,1.8399999999999999,120.89262635093212,303.68189815113374,245.28189815113373,68.4,0,166314.42435871126,145400,20914.424358711258
Veh1000_18,2,3,3,1.3,93.58782355754687,178.0590771293207,150.0590771293207,38.0,0,161590.6934754556,145400,16190.693475455608
Veh1000_19,1,1,3,0.24,191.81284028843214,282.81404928228284,265.41404928228286,27.4,0,178583.62136989876,145400,33183.62136989876
Veh1000_19,2,4,3,0.92,96.59448311859738,171.21677042797324,147.01677042797326,34.2,0,162110.84557951734,145400,16710.845579517347
Veh1000_20,1,3,3,1.81,176.52205293830207,261.1813620641187,228.08136206411868,43.1,0,175938.31515832627,145400,30538.31515832626
Veh1000_20,2,4,3,0.73,64.7850855608479,130.01555647721736,107.71555647721735,32.3,0,156607.8198020267,145400,11207.819802026688
Veh1000_21,1,4,3,1.4,142.43441440549327,238.02183318565417,209.02183318565417,39.0,0,170041.15369215034,145400,24641.153692150336
Veh1000_21,2,2,3,2.2,49.47381308435013,127.0909483421738,90.0909483421738,47.0,0,153958.96966359258,145400,8558.969663592572
Veh1000_22,1,2,3,0.59,33.81500343465469,86.2491957740184,65.3491957740184,30.9,0,151249.99559419526,145400,5849.995594195261
Veh1000_22,2,3,3,0.8099999999999999,49.47381308435013,113.1909483421738,90.0909483421738,33.1,0,153958.96966359258,145400,8558.969663592572
Veh1000_23,1,1,3,1.0,52.694092599497374,119.28688366116097,94.28688366116097,35.0,0,154516.07801971305,145400,9116.078019713046
Veh1000_23,2,3,4,1.3800000000000001,55.088011359504655,143.41915879200147,109.61915879200146,43.8,0,154930.22596519432,145400,9530.225965194306
Veh1000_24,1,3,3,0.8200000000000001,83.87172535835231,170.66361408520598,147.463614085206,33.2,0,159909.80848699494,145400,14509.808486994949
Veh1000_24,2,2,3,0.39,81.70481242030941,153.5048063537168,134.60480635371678,28.9,0,159534.93254871352,145400,14134.932548713528
Veh1000_25,1,9,5,2.37,68.92875394852919,210.23231081906732,161.53231081906733,58.7,0,157324.67443309556,145400,11924.67443309555
Veh1000_25,2,3,3,0.92,50.14157151947265,108.85868932111633,84.65868932111633,34.2,0,154074.49187286876,145400,8674.491872868768
Veh1000_26,1,2,3,1.42,190.43631302171258,279.12434125623764,249.92434125623765,39.2,0,178345.48215275627,145400,32945.482152756274
Veh1000_26,2,5,3,1.16,93.9163456419262,188.46916263931493,161.86916263931494,36.6,0,161647.52779605324,145400,16247.527796053233
Veh1000_27,1,4,4,0.6699999999999999,164.334466651826,242.1648657572829,215.46486575728292,36.7,0,173829.8627307659,145400,28429.862730765897
Veh1000_27,2,3,3,0.88,70.29881715134024,193.89568510828076,170.09568510828075,33.8,0,157561.69536718185,145400,12161.695367181863
Veh1000_28,1,2,4,1.18,71.20337071567542,167.89728974454334,136.09728974454333,41.8,0,157718.18313381184,145400,12318.183133811848
Veh1000_28,2,2,3,0.9,80.36721928687433,160.59666516232275,136.59666516232275,34.0,0,159303.52893662927,145400,13903.52893662926
Veh1000_29,1,2,3,0.6,98.15921159572983,167.51670191954625,146.51670191954625,31.0,0,162381.54360606126,145400,16981.54360606126
